,type_kt,type_rt,type_ok,elevator,energy_class,neighborhood,price,price_per_square_meter,number_of_rooms,rooms,square_meters,year,condition,floor_num,top_floor,bottom_floor,floor_frac,lat,lng
325,1,0,0,1,D2007,Kallio,217500,6905,1,"h,ikk.kk,kh,p",31.5,1964,2,1.0,False,False,0.125,60.18428689999999,24.9492728
326,1,0,0,0,F,Kallio,225000,5196,1,"h, alk, k, kph",43.3,1910,2,2.0,False,False,0.5,60.18428689999999,24.9492728
327,1,0,0,1,F,Punavuori,185000,9250,1,h+kk,20.0,1959,1,4.0,False,False,0.8,60.1617225,24.9364126
328,1,0,0,0,D,Konala,182000,4550,1,"h, k, alkovi, ...",40.0,2012,2,1.0,False,False,0.25,60.2369883,24.8449882
329,1,0,0,0,E2007,Vallila,127000,5522,1,"h, avok, kph",23.0,1925,1,3.0,False,False,0.75,60.19443539999999,24.9570247
330,1,0,0,1,,Taka-töölö,196000,6323,1,"h, k, kph",31.0,1937,0,4.0,False,False,0.6666666666666666,60.1816434,24.9181181
331,1,0,0,1,,Ullanlinna,212000,8833,1,"h, kk, sh",24.0,1937,1,5.0,False,False,0.8333333333333334,60.1584139,24.9490399
332,1,0,0,0,,Taka-töölö,192000,7805,1," h, avokeitti&...",24.6,1913,2,3.0,False,False,0.6,60.1816434,24.9181181
333,1,0,0,1,,Alppila,185000,7115,1,h+kk+kph,26.0,1962,2,6.0,False,False,0.75,60.19186920000001,24.9426148
334,1,0,0,1,F2007,Merihaka,172000,6143,1,"h, kk, lasitet...",28.0,1974,1,2.0,False,False,0.14285714285714285,60.17924060000001,24.9608709
335,1,0,0,0,E2007,Pohjois-Meilahti,228000,7600,1,"h, avok, kph",30.0,1940,2,2.0,False,False,0.6666666666666666,60.18237120000001,24.8835707
336,1,0,0,0,,Vallila,212000,6839,1,h+k,31.0,1929,2,4.0,True,False,1.0,60.19443539999999,24.9570247
337,1,0,0,0,,Malmi,137000,3806,1,"h, kk, s",36.0,1985,1,2.0,False,False,0.6666666666666666,60.2510217,25.0105626
338,1,0,0,1,F,Kamppi,292000,7139,1,h+k+kph,40.9,1929,2,4.0,False,False,0.5,60.16745770000001,24.9310748
339,1,0,0,1,E,Kallio,262000,5822,1,"h, avok., kph,...",45.0,1930,2,4.0,False,False,0.6666666666666666,60.18428689999999,24.9492728
340,1,0,0,1,E2007,Alppiharju,176500,7674,1,"h, kk, kph",23.0,1940,2,6.0,True,False,1.0,60.1909743,24.9433007
341,1,0,0,1,,Kallio,173000,6407,1,"h, avok, kph",27.0,1936,2,4.0,False,False,0.6666666666666666,60.18428689999999,24.9492728
342,1,0,0,0,F,Kallio,150000,5455,1,h+kk,27.5,1907,1,2.0,False,False,0.4,60.18428689999999,24.9492728
343,1,0,0,1,,Viikki,177000,5619,1,"h, avok, kh",31.5,2017,2,4.0,False,False,0.8,60.2251453,25.0200552
344,1,0,0,1,,Alppila,265000,6795,1,"h, k, alkovi, ...",39.0,2001,2,5.0,False,False,0.7142857142857143,60.19186920000001,24.9426148
345,1,0,0,0,D,Alppila,200000,6452,1,h+alk.+kph,31.0,1936,1,3.0,False,False,0.5,60.19186920000001,24.9426148
346,1,0,0,1,,Alppila,245000,6806,1,"h, kk, kph",36.0,1928,2,7.0,True,False,1.0,60.19186920000001,24.9426148
347,1,0,0,1,D,Taka-töölö,182500,7604,1,"h, kk",24.0,1939,1,1.0,False,False,0.2,60.1816434,24.9181181
348,1,0,0,0,F2007,Malmi,124000,4276,1,"h,kk",29.0,1985,2,2.0,False,False,0.6666666666666666,60.2510217,25.0105626
349,1,0,0,1,E,Kallio,179500,6190,1,h+kk+alkovi+kp...,29.0,1961,2,4.0,False,False,0.5714285714285714,60.18428689999999,24.9492728
350,1,0,0,1,,Lauttasaari,186000,5471,1," h, k, kph, p",34.0,1977,2,3.0,False,False,0.6,60.1573302,24.8772531
351,1,0,0,0,E2007,Alppila,85000,2361,1,"h, avok. ja parvi",36.0,1936,1,1.0,False,False,0.25,60.19186920000001,24.9426148
352,1,0,0,1,E2007,Vuosaari,120000,4000,1," h, kk, kh, p",30.0,1972,1,1.0,False,False,0.125,60.2087898,25.1437314
353,1,0,0,0,E,Ruskeasuo,196000,5939,1,h+avok+kph/s+wc,33.0,1955,2,1.0,False,False,0.25,60.2027472,24.9054937
354,1,0,0,0,F,Alppila,139000,7722,1,"h,wc",18.0,1927,1,3.0,False,False,0.6,60.19186920000001,24.9426148
355,1,0,0,0,,Kruununhaka,198000,9000,1,"h,kk",22.0,1950,2,6.0,True,False,1.0,60.1721106,24.9579177
356,1,0,0,1,E,Hakaniemi,230000,7667,1,"h, avok, kph",30.0,1937,1,5.0,False,False,0.7142857142857143,60.1798312,24.9504379
357,1,0,0,0,E2007,Puotila,127000,3848,1," h, kk, parveke",33.0,1961,1,1.0,False,False,0.3333333333333333,60.2121725,25.0961086
358,1,0,0,0,E2007,Mellunmäki,121000,3507,1,h+pk+kph+lasit...,34.5,1975,2,2.0,False,False,0.6666666666666666,60.2372171,25.1140828
359,1,0,0,0,,Kallio,165500,9194,1,h+kk,18.0,1936,2,2.0,False,False,0.5,60.18428689999999,24.9492728
360,1,0,0,1,E2007,Harju,154000,7264,1,"h,kk,wc",21.2,1940,1,3.0,False,False,0.42857142857142855,60.1882578,24.955949
361,1,0,0,0,E,Malminkartano,127000,3848,1,h+kk+P,33.0,1984,1,2.0,False,False,0.6666666666666666,60.247528,24.8621235
362,1,0,0,0,,Munkkisaari,220000,6128,1,"h, k, kph",35.9,1911,1,2.0,False,False,0.5,60.1501767,24.9283928
363,1,0,0,1,,Kruununhaka,192000,8000,1,h + k + kph,24.0,1910,1,4.0,False,False,0.8,60.1721106,24.9579177
364,1,0,0,0,G,Etelä-haaga,125000,5952,1,"h, avok., kph",21.0,1961,1,1.0,False,False,0.25,60.21249009999999,24.8983908
365,1,0,0,1,E,Taka-töölö,285000,6706,1,"h,k,alkovi",42.5,1932,2,2.0,False,False,0.3333333333333333,60.1816434,24.9181181
366,1,0,0,1,F,Lauttasaari,196000,6759,1,"h, kk, p",29.0,1965,1,3.0,False,False,0.75,60.1573302,24.8772531
367,1,0,0,1,D,Pukinmäki,155000,5000,1,h+kk,31.0,1975,2,2.0,False,False,0.4,60.24496019999999,24.9890411
368,1,0,0,1,G,Lauttasaari,170000,6538,1,"h, ks, kph",26.0,1939,1,3.0,False,False,0.5,60.1573302,24.8772531
369,1,0,0,0,C,Honkasuo,169000,5281,1,"h, kt, kph, pa...",32.0,2017,2,2.0,True,False,1.0,60.25889350000001,24.8430415
370,1,0,0,1,F2007,Mellunmäki,105000,3088,1,"h, pk, kph, p",34.0,1973,1,4.0,False,False,0.8,60.2372171,25.1140828
371,1,0,0,1,E2007,Punavuori,182000,9100,1,"h, avokeitti...",20.0,1952,1,5.0,True,False,1.0,60.1617225,24.9364126
372,1,0,0,1,D,Alppiharju,195000,7222,1," h, avok, kph",27.0,1929,2,,,,,60.1909743,24.9433007
373,1,0,0,1,,Taka-töölö,217000,6803,1,"h, kk, kph",31.9,1936,2,2.0,False,False,0.3333333333333333,60.1816434,24.9181181
374,1,0,0,0,E,Länsi-pakila,151000,4871,1,h+kk+kh+p,31.0,1963,2,3.0,True,False,1.0,60.24112529999999,24.9271192
375,1,0,0,1,,Kamppi,293000,5860,1,"h, rt/alkovi, ...",50.0,1929,1,3.0,False,False,0.6,60.16745770000001,24.9310748
376,1,0,0,0,F2007,Alppiharju,192000,7033,1, h+kph+kk,27.3,1912,2,,,,,60.1909743,24.9433007
377,1,0,0,1,G,Kontula,107000,3452,1,h+kk,31.0,1970,1,7.0,False,False,0.7777777777777778,60.23661,25.0836227
378,1,0,0,1,E2007,Punavuori,273000,6659,1," h, keitti...",41.0,1937,1,4.0,False,False,0.8,60.1617225,24.9364126
379,1,0,0,1,D2007,Torkkelinmäki,195000,6964,1," h, kk, wc/suihku",28.0,1928,1,3.0,False,False,0.42857142857142855,60.1853784,24.9565782
380,1,0,0,0,D2007,Etelä-haaga,187600,6253,1,"h, kk, kh",30.0,1959,2,3.0,True,False,1.0,60.21249009999999,24.8983908
381,1,0,0,0,,Pohjois-Meilahti,198000,5500,1, H + k,36.0,1941,0,1.0,False,False,0.3333333333333333,60.18237120000001,24.8835707
382,1,0,0,1,E2007,Kallio,171120,6845,1,h+kk+wc+et,25.0,1929,1,2.0,False,False,0.2857142857142857,60.18428689999999,24.9492728
383,1,0,0,1,D2007,Pukinmäki,136500,4550,1," h, kk, kh, vh, p",30.0,1981,1,4.0,False,False,0.8,60.24496019999999,24.9890411
384,1,0,0,0,,Lauttasaari,157000,5322,1,h+kk,29.5,1974,0,7.0,False,False,0.7777777777777778,60.1573302,24.8772531
385,1,0,0,1,,Hakaniemi,235000,6184,1,"h, alk, k, kph",38.0,1938,1,6.0,False,False,0.8571428571428571,60.1798312,24.9504379
386,1,0,0,1,E2007,Pihlamäki,143000,3075,1," h, k, kh, p",46.5,1978,1,1.0,False,False,0.25,60.2347506,25.0103757
387,1,0,0,0,F,Vuosaari,123000,5234,1, h+kk,23.5,1965,2,1.0,False,False,0.3333333333333333,60.2087898,25.1437314
388,1,0,0,1,,Alppila,210053,6564,1," h, parvi, k, ...",32.0,1931,1,4.0,True,False,1.0,60.19186920000001,24.9426148
389,1,0,0,1,F,Alppila,235000,6184,1,"h, avokeitti...",38.0,1930,2,6.0,False,False,0.8571428571428571,60.19186920000001,24.9426148
