|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
255|tyyd.|ei|E2007|5/5|kt|Kallio|242000|5116|1|h,k,kh,parvi|47,30|1912
256|tyyd.|ei|E2007|2/4|kt|Kannelmäki|134000|4621|1|h, k, p|29,00|1960
257|hyvä|on||3/6|kt|Punavuori|260000|8000|1|h, kk, kph/wc,...|32,50|1977
258|hyvä|ei|F|2/7|kt|Kruununhaka|310000|8179|1|h, k+kph|37,90|1927
259|tyyd.|ei||3/5|kt|Kallio|172000|5972|1|h, alk, kph|28,80|1927
260|tyyd.|ei|E|2/2|kt|Puistola|125000|3623|1|h, k|34,50|1974
261|hyvä|ei||1/4|kt|Ullanlinna|345000|8984|1|h, avok, alkov...|38,40|1907
262|tyyd.|ei||1/3|kt|Lauttasaari|155000|6458|1|h, kk, kph|24,00|1966
263|tyyd.|on|D2007|5/7|kt|Kallio|218000|5423|1|h,alk,k,kh|40,20|1937
264|hyvä|on|F|6/6|kt|Kallio|265000|6463|1| huone+alkovi+...|41,00|1939
265|hyvä|ei|F|3/3|kt|Puotila|124000|5061|1|h+kk+parveke|24,50|1970
266|hyvä|on|C2007|2/6|kt|Keski-töölö|211000|8115|1|h, avok|26,00|1936
267|tyyd.|on||1/8|kt|Kallio|175000|4605|1|h, alkovi, k, ...|38,00|1959
268|hyvä|ei||4/4|kt|Torkkelinmäki|250000|9058|1|+k|27,60|1928
269|tyyd.|ei|E2007|2/3|kt|Etelä-haaga|153000|6652|1| h, kk, kh, p|23,00|1963
270|hyvä|on|F|2/7|kt|Alppila|241000|6342|1|h+avok+kph+par...|38,00|1931
271|hyvä|on||4/7|kt|Herttoniemi|178000|7120|1|h+avok+kph+par...|25,00|2015
272|tyyd.|on||3/7|kt|Punavuori|161000|10063|1|h, kk, parvi|16,00|1927
273|tyyd.|ei|E2007|4/5|kt|Kallio|145000|7552|1|h,avok,kph,parvi|19,20|1913
274|tyyd.|on||1/6|kt|Munkkiniemi|145000|6905|1| h + k + wc|21,00|1937
275|hyvä|on||2/4|kt|Lauttasaari|190000|6552|1| h, k, p|29,00|1972
276|hyvä|on|E|3/5|kt|Lauttasaari|221000|6800|1|h, avok, kph|32,50|1955
277|tyyd.|ei|D|3/3|kt|Tapulikaupunki|100000|2941|1|h, kk|34,00|1976
278|hyvä|ei|E|2/3|kt|Ruskeasuo|185000|6852|1|h, kk, kh, alk...|27,00|1994
279|hyvä|on|F|3/7|kt|Vallila|150000|5357|1|h, avok, kph|28,00|1928
280|hyvä|on|E|3/5|kt|Laajasalo|131000|4517|1|h, kk, kph, la...|29,00|1970
281|hyvä|ei||1/2|kt|Toukola|172000|5931|1|h, avok., kh, ...|29,00|1927
