|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
2756|huono|on|D|2/4|kt|Lehtisaari|328000|3151|5|h, k, rt, kph,...|104,10|1967
2757|hyvä|on|F2017|1/5|kt|Kruununhaka|850000|5986|4|h, k, aula, sa...|142,00|1912
2758|tyyd.|ei||3/4|kt|Munkkivuori|385000|4425|3|-4h, k, halli,...|87,00|1956
2759|hyvä|on|C|3/4|kt|Munkkiniemi|480000|5517|3|-4 h+k+kph+par...|87,00|1958
2760|tyyd.|on|E|3/7|kt|Etu-Töölö|745000|5960|5| h, k, kh, wc|125,00|1925
2761|hyvä|ei||1/2|rt|Laajasalo|425000|2104|5|h, k, kph/s, a...|202,00|1972
2762|tyyd.|on||4/4|kt|Laajasalo|222000|2537|4|h, k, 2 x kph,...|87,50|1967
2763|huono|on|D|4/5|kt|Etu-Töölö|620000|6710|3|h+k+palv.huone...|92,40|1912
2764|hyvä|ei|B|-1/2|rt|Tapanila|385000|4010|4|h+k+2xkph+s+pa...|96,00|2014
2765|hyvä|ei|E|1/2|rt|Vuosaari|280000|2800|5|h,k,s|100,00|1965
2766|hyvä|on|C2007|2/4|kt|Kuninkaantammi|395000|3835|4|-5h+kt+s|103,00|2019
2767|hyvä|ei||-1/3|rt|Tapaninkylä|396000|3650|4|-5h, avok, sau...|108,50|1998
2768|tyyd.|on|E2007|9/9|kt|Laajasalo|252000|2653|5|h,k,kph(2),s,w...|95,00|1973
2769|hyvä|ei|E|1/1|rt|Itä-pakila|354710|3657|4| h, k, kph/wc,...|97,00|1969
2770|hyvä|ei|| |ok|Itä-pakila|750000|2788|6|h, k, takkahuo...|269,00|2001
2771|hyvä|on|C|2/4|kt|Malminkartano|307000|3862|4|h, k, s, parveke|79,50|2015
2772|hyvä|ei|F|2/3|kt|Patola|253000|2691|4|h+k|94,00|1973
2773|hyvä|ei|E|1/2|ok|Suutarila|320000|2540|4|-5h, k, khh, s...|126,00|1997
2774|hyvä|ei|A|1/2|ok|Tapaninvainio|479000|4519||k; avok, oh/rt...|106,00|2015
2775|hyvä|ei|F|-1/3|kt|Munkkiniemi|1800000|8491|3|mh, oh, rt kei...|212,00|1982
2776|hyvä|on|D|2/5|kt|Myllypuro|290000|3314|4|h, k, kh, s, w...|87,50|2010
2777|tyyd.|on||2/4|kt|Kannelmäki|220000|2115|5|h, k, kph, eri...|104,00|1973
2778|hyvä|ei||-1/2|ok|Suutarila|470000|3133|5|h+k+khh+s|150,00|2011
2779|hyvä|on|F|5/6|kt|Ullanlinna|1675000|7976||h, 3mh, ruokas...|210,00|1929
2780|tyyd.|ei|E|1/1|rt|Vuosaari|412000|3448|5|-6h+k+ask.h+kp...|119,50|1969
2781|tyyd.|ei||4/4|kt|Punavuori|960000|7373|4|h,k|130,20|1892
2782|tyyd.|ei||4/4|kt|Munkkivuori|490000|4537|4|-5h, k, kph, w...|108,00|1959
2783|hyvä|ei||1/3|kt|Kulosaari|519000|4380|6|h,k, lasitettu...|118,50|1960
2784|hyvä|on|G2013|2/6|kt|Munkkiniemi|708000|5803|4|h, k, kph, eri...|122,00|1936
2785|tyyd.|ei||-1/3|ok|Konala|585000|1828|8|h, 4 kpl k, 4 ...|320,00|1990
2786|tyyd.|on|D2007|3/4|kt|Lauttasaari|435000|5000|4| h, k, kph, vh, p|87,00|1958
2787|hyvä|ei||2/2|rt|Itä-pakila|351000|2925|4|h,k,kph,parvek...|120,00|1939
2788|tyyd.|ei||3/5|kt|Kruununhaka|1031000|5287|6|h+k|195,00|1902
2789|hyvä|ei|F|2/3|kt|Oulunkylä|347000|3856|4|-5h, k, parv.|90,00|1963
2790|tyyd.|ei||-1/2|rt|Malminkartano|238000|2245|3|-4h, k, s, kph...|106,00|1985
2791|hyvä|ei|C|-1/2|rt|Vartiokylä|448000|3613|4|h, k, saunaos,...|124,00|2017
2792|tyyd.|on|G|1/4|kt|Etelä-haaga|418000|4519|4| h, k, kph, wc, p|92,50|1964
2793|hyvä|on||3/3|kt|Itäkeskus|240000|2487|3|-4h, k, erill....|96,50|1977
2794|huono|ei|G|1/3|rt|Käpylä|380000|4524|2|h+k|84,00|1921
2795|hyvä|ei||2/2|rt|Kurkimäki|236000|2421|5|h, k, s, lasit...|97,50|1987
2796|tyyd.|ei||4/4|kt|Pihlajamäki|145000|1457|4|h, k, kph, eri...|99,50|1964
2797| |on|D|4/5|kt|Kallahti|285000|2500|5| h+k+s|114,00|1993
2798|hyvä|ei|E|1/2|rt|Paloheinä|537000|4084|5| h, k, th, kph...|131,50|2001
2799|tyyd.|on|E2007|1/8|kt|Myllypuro|210000|2308|4|h, k, kph, wc,...|91,00|1964
2800|hyvä|on|A2007|1/6|kt|Lauttasaari|785496|7273|4|h, k, rt,s, pa...|108,00|2015
2801|tyyd.|ei||2/3|kt|Pohjois-Meilahti|505000|4591|4|h, k, halli, p...|110,00|1951
2802|tyyd.|ei||4/4|kt|Punavuori|870000|5762|5|h+k|151,00|1891
2803|hyvä|ei|C|-1/2|rt|Heikinlaakso|595000|3271|4|h, avokeitti...|181,90|2015
2804|hyvä|on|D|2/7|kt|Taka-töölö|624000|5832|3|-4h, k, kph|107,00|1936
2805|hyvä|ei||3/3|kt|Itäkeskus|270900|2520|5|h, k, kph/wc, ...|107,50|1963
2806|hyvä|ei||1/2|rt|Tapaninkylä|510000|3355|4|h+avok+rt+kph+...|152,00|2000
2807|tyyd.|ei|G|3/3|kt|Ruskeasuo|440000|5057|4|-5 h, k, kph, ...|87,00|1955
2808|tyyd.|on|F2007|1/4|kt|Herttoniemi|143000|5296|1|h+kk|27,00|1955
2809|hyvä|ei||1/1|rt|Tapaninvainio|300000|3371|4|h, k, s|89,00|1978
2810|tyyd.|ei|E|1/1|rt|Länsi-pakila|265000|2944|4|h+k+s|90,00|1970
2811|hyvä|ei|G|1/3|kt|Kontula|125000|1667|4|h, k|75,00|1965
2812|tyyd.|ei|D|1/3|kt|Oulunkylä|322000|3701|4|h, k, lasitett...|87,00|1965
2813|hyvä|on||3/7|kt|Keski-Töölö|700000|5556|5|h, k, kph, eri...|126,00|1925
2814|hyvä|ei||3/6|kt|Ullanlinna|1642000|7396|6|-7 h+k+kph+sau...|222,00|1904
2815|tyyd.|ei|E2007|2/3|kt|Kontula|173033|1901|4|h, k, erill. w...|91,00|1967
2816|hyvä|ei||-1/2|ok|Paloheinä|345000|3382|4|-5h+k+s, autok...|102,00|1977
2817|huono|on|E2014|5/7|kt|Kallio|481000|3387|5|h,k, kph, eril...|142,00|1929
2818|hyvä|ei|E2007|1/2|rt|Kurkimäki|229000|2632|4|h+k+s|87,00|1987
2819|tyyd.|ei|| |ok|Itä-pakila|300000|3030|3|h,k,takkah,s,k...|99,00|1961
2820|huono|ei||2/2|rt|Vesala|113200|1132|4|h|100,00|1978
2821|hyvä|on|C|2/6|kt|Kalasatama|575000|5583|5|h, kt,s|103,00|2013
2822| |ei|E|1/2|rt|Länsi-pakila|367000|1892|6|h+k+aputilat|194,00|1971
2823|tyyd.|ei||2/2|kt|Kuusisaari|490000|4558|4|h, k, kph, s, ...|107,50|1984
2824|tyyd.|on|F|4/4|kt|Pohjois-Meilahti|527000|5019|4|h,k,kph,erill.wc|105,00|1946
2825|hyvä|on|C2007|5/6|kt|Arabianranta|623000|3665|4|OFT 4h, avokei...|170,00|2008
2826|tyyd.|ei||3/3|kt|Siltamäki|148000|1518|4|h,k, kph, wc, ...|97,50|1972
2827|tyyd.|ei|G|3/3|kt|Kontula|167000|1440|6|h, k, kph, wc,...|116,00|1967
2828|tyyd.|on||3/5|kt|Käpylä|365000|4650|4|h, k, s, erill...|78,50|1998
2829|hyvä|ei|E2007|1/3|kt|Oulunkylä|279500|3367|3|-4h, k, sauna,...|83,00|1979
2830|hyvä|on||5/5|kt|Aurinkolahti|558000|5391|4|h, k, s, lasit...|103,50|2016
2831|hyvä|ei|E| |rt|Malmi|390000|3305|3|-4h+k+s+kph/wc...|118,00|2007
2832|huono|ei|D2007|4/4|kt|Myllypuro|152500|1837|4|h, k, kph, wc,...|83,00|1965
2833|hyvä|ei|E|-1/2|rt|Paloheinä|340000|4024|4|h, avokeitti...|84,50|1985
2834|tyyd.|on|E|2/5|kt|Lauttasaari|370000|3737|4|-h, k, kph, sa...|99,00|1963
2835|tyyd.|ei|E2007|3/3|kt|Oulunkylä|325000|3693|4| h, k, kh,  ka...|88,00|1963
2836|hyvä|ei|D|-1/2|rt|Puistola|455000|3889|4|h, k, s, kkh, vh|117,00|2004
2837|hyvä|ei|A|1/2|ok|Länsi-pakila|617500|3374||k; et, k, oh, ...|183,00|2011
2838|hyvä|ei||3/3|kt|Kontula|157000|1725|4|h+k+kph+parveke|91,00|1967
2839|hyvä|ei|E|-1/2|rt|Hevossalmi|500000|4808|4|h+k+khh+kph+s+...|104,00|2000
2840|hyvä|on|A2007|2/6|kt|Lauttasaari|830000|7545|4| h, k, rt, s, ...|110,00|2015
2841|tyyd.|on|G|2/8|kt|Ullanlinna|860000|7167|5| - 6 h, k, kh,...|120,00|1962
2842|hyvä|ei||-1/3|rt|Munkkiniemi|1440000|7262|6|h, k, s, 2x kp...|198,30|2005
2843|hyvä|ei||3/3|rt|Heikinlaakso|605000|2537|5|h,k,s,autotalli|238,50|2014
2844|tyyd.|on||1/4|kt|Munkkivuori|395000|4647|4|h, k, kph, vh,...|85,00|1957
2845|tyyd.|on|F2007|2/6|kt|Munkkiniemi|532226|5270|5|h, k, kph, wc,...|101,00|1964
2846|tyyd.|ei||1/1|rt|Veräjämäki|358000|2841|5| h, k, kh/s, e...|126,00|1967
2847|tyyd.|ei|E2007|3/3|kt|Pihlajamäki|155000|2109|4|h,kk,rt,parveke|73,50|1964
2848|tyyd.|ei|D|-1/2|rt|Malmi|265000|2912|4|-6h (kok.pa 18...|91,00|1968
2849|hyvä|ei|C|1/2|rt|Siltamäki|395000|3798|4|h, ak, s/ph, w...|104,00|2017
2850|hyvä|on|G|4/6|kt|Herttoniemi|430000|4115|4|h, avok, rt, l...|104,50|2007
2851|hyvä|ei|F|-1/3|kt|Laajasalo|370000|3058|4|-5 h, k, kh, v...|121,00|1975
2852|hyvä|on|G|4/5|kt|Ullanlinna|1420000|9861|4|h, k, 2 x kph, wc|144,00|1905
2853|hyvä|ei||-1/2|ok|Malmi|494850|3093|5|h,k,s|160,00|1940
2854|tyyd.|ei|E|1/2|rt|Tapanila|317000|3562|4|h, k, s/ph, wc...|89,00|1996
2855|tyyd.|ei||3/3|kt|Malmi|205000|2278|4| h, k, kph, 2w...|90,00|1980
2856|tyyd.|on||1/6|kt|Pitäjänmäki|205000|2158|4|h, k, kph, s, ...|95,00|1973
2857|tyyd.|ei|D|1/3|rt|Itä-pakila|347000|2029|4| h, k, kaksi w...|171,00|1972
2858|hyvä|ei|E|1/2|rt|Vuosaari|350000|3226|4|h, kt, rt, s +...|108,50|2007
2859|tyyd.|ei|E|1/2|rt|Kannelmäki|185000|1702|5|h, k, vh, eril...|108,70|1974
2860|hyvä|ei|C|1/2|rt|Siltamäki|350000|4070|4|h, ak, s/ph, w...|86,00|2017
2861|tyyd.|ei||-1/2|ok|Torpparinmäki|330000|2946|4|-5 h, avok, 2 ...|112,00|1982
2862|hyvä|ei|C|-1/3|ok|Marjaniemi|970000|4311|6|h, k, kph, sau...|225,00|2000
2863|hyvä|on|E|4/5|kt|Vuosaari|283000|3329|4|h, k, s, erill...|85,00|2001
2864|hyvä|on||4/5|kt|Aurinkolahti|468830|4833|4|h, k, s, lasit...|97,00|2016
2865|tyyd.|on||3/4|kt|Lehtisaari|397000|3308|5|h, k, kph, eri...|120,00|1967
2866|hyvä|on|E|2/5|kt|Etu-Töölö|875000|6783|5|h, keittiö...|129,00|1923
2867|tyyd.|ei|D|1/2|rt|Veräjämäki|355000|2710|5|h, k, s, 2x wc...|131,00|1976
2868|hyvä|ei||-1/3|rt|Tapaninkylä|340000|2429|4|h+k+kph+s(tkh,...|140,00|1999
2869|hyvä|on||4/5|kt|Suurmetsä|165000|1854|4|h+k+kph+wc/khh...|89,00|1971
2870|tyyd.|ei||1/1|rt|Mellunkylä|280000|2258|4|h, takkahuone,...|124,00|1973
2871|hyvä|ei||1/2|rt|Laajasalo|496000|3374|4|-5h, avok, kph...|147,00|1999
2872|tyyd.|ei|E| |ok|Itä-pakila|325000|2196|6| h, 2 x k, 2 x...|148,00|1953
2873|hyvä|on||4/8|kt|Eira|900000|7826|4|h, avok, sauna...|115,00|2007
2874|tyyd.|ei|| |ok|Puistola|325000|3095|5|h+k+kph/s+2wc+...|105,00|1947
2875|hyvä|on|D|4/6|kt|Taka-töölö|509000|4259|4|h, k, kph, eri...|119,50|1927
2876|hyvä|on||3/7|kt|Etu-Töölö|870000|6127|4|h, ph, k, kph,...|142,00|1925
2877|tyyd.|ei||-1/2|rt|Metsälä|360000|2416|4|-5h, k, s, khh...|149,00|1985
2878|hyvä|ei|F|2/3|kt|Malmi|200000|2532|4|h, k, p|79,00|1965
2879|tyyd.|ei|F|2/3|kt|Etelä-haaga|347000|4082|4|h, k, kh, vh, ...|85,00|1957
2880|hyvä|ei|C|5/7|kt|Aurinkolahti|396800|4484|4|h, kt, s, parveke|88,50|2017
2881|tyyd.|ei|E2007|2/3|kt|Kurkimäki|182000|1916|4|h+k+s+2 wc|95,00|1983
2882|tyyd.|on|D2007|3/5|kt|Katajanokka|475000|4798|4|h,k,lasitettu ...|99,00|1981
2883|huono|ei|E2007|-1/2|rt|Etelä-haaga|425000|3864|4|h, k, vh, eril...|110,00|1960
2884|hyvä|ei|E2007|-1/2|rt|Jollas|565000|4708|5|h, k, s|120,00|2001
2885|hyvä|ei||1/3|ok|Tapaninkylä|615000|4695|5| huonetta, ruo...|131,00|2005
2886|hyvä|on||6/6|kt|Etu-Töölö|1212500|6968|4|h, k, rh, 2 kp...|174,00|1920
2887|hyvä|on||3/6|kt|Kruununhaka|1300000|5556|6|h, k (Oh, k, 3...|234,00|1890
2888|tyyd.|on|E2007|2/7|kt|Taka-töölö|513000|5208|4|-5 h, k, erill...|98,50|1975
2889|hyvä|on||3/6|kt|Aurinkolahti|458000|4221|5| h, k, s, kph,...|108,50|2008
2890|hyvä|on|E|6/6|kt|Taka-töölö|738000|6308|4|h, avokeitti...|117,00|1937
2891|hyvä|ei|D|-1/2|rt|Veräjämäki|445000|3225|5|h, k, kh, 2 x ...|138,00|1971
2892|hyvä|on|C|2/6|kt|Kalasatama|465000|5962|4|h, k|78,00|2013
2893|tyyd.|on|D|5/8|kt|Taka-töölö|409000|5113|4| h + k + kh|80,00|1949
2894|hyvä|on|G|6/8|kt|Kontula|146500|1744|4| huonetta, kei...|84,00|1968
2895|tyyd.|ei|| |ok|Tapaninkylä|300000|2362|4|h,k,rt,2wc,kph...|127,00|1989
2896|hyvä|ei|D|-1/2|rt|Laajasalo|379000|3384|5|h, k, s, vaate...|112,00|2002
2897|hyvä|ei||1/1|rt|Tapaninvainio|345000|2464|4| h, k, kh/wc, ...|140,00|1973
2898|tyyd.|ei||7/8|kt|Niemenmäki|340000|2857|6|h,k,kph,wc,las...|119,00|1962
2899|tyyd.|ei||2/6|kt|Munkkiniemi|510000|5100|3|h+k+palvh (yht...|100,00|1938
2900|hyvä|on||2/6|kt|Lauttasaari|710000|6339|4|h, k, s, p|112,00|2000
2901|tyyd.|on||3/5|kt|Taka-töölö|640000|5447|4|-5h+k+s+2 x er...|117,50|1982
2902|tyyd.|ei||-1/1|ok|Malmi|295000|2588|4|h, k, s, kph, ...|114,00|1985
2903|hyvä|ei||2/6|kt|Keski-Töölö|750000|6000|4|h+k+halli+kph+wc|125,00|1934
2904|hyvä|ei||4/4|kt|Pihlajamäki|173624|2572|3|-4h,k,p (lasit...|67,50|1963
2905|tyyd.|ei|D2007|-1/2|kt|Pihlajamäki|196000|2085|5|h, k, p|94,00|1962
2906|hyvä|ei|A|3/3|rt|Myllykylä|435000|3480|5|h, k, sauna, k...|125,00|2013
2907|tyyd.|on|F|5/6|kt|Lauttasaari|420000|4330|4|h+rh+k+s+kph+wc|97,00|1982
2908|tyyd.|ei||1/2|rt|Länsi-pakila|360000|3243|5|h+k+kph/wc/s+w...|111,00|1964
2909|hyvä|ei|E|1/2|rt|Vuosaari|369000|3037|5|H+K+S+2WC+PARV...|121,50|2007
2910|hyvä|ei||2/2|rt|Munkkiniemi|705000|4700|4|-5h+k+parvi+s+...|150,00|1976
2911|hyvä|on|F|4/6|kt|Kamppi|865000|5581|4|h, k, kph/wc, ...|155,00|1927
2912|hyvä|ei|E|-1/3|ok|Paloheinä|560000|3660|4|h+k+tkh+khh+wc...|153,00|1994
2913|hyvä|ei||1/1|rt|Puistola|265000|3212|3|-4h, k, s|82,50|1982
2914|hyvä|on|F|3/3|kt|Ullanlinna|910000|8169|4|h, k, kph, eri...|111,40|1906
2915|hyvä|ei||2/2|rt|Laajasalo|460000|4107|5|h,k,s piha|112,00|1979
2916|hyvä|ei||-1/2|ok|Landbo|397000|2406|5|-7 h: Oh, k, r...|165,00|1999
2917|hyvä|on||2/6|kt|Taka-töölö|415000|4716|3| - 4h, k, kph,...|88,00|1939
2918|hyvä|ei|G|2/3|kt|Kontula|165000|1793|4|h, k, kph, eri...|92,00|1970
2919|tyyd.|ei||1/5|kt|Lauttasaari|520000|5561|5|h+k|93,50|1966
2920|hyvä|on|A|5/6|kt|Vallila|595000|6330|4|h, k, kph, 2 w...|94,00|2013
2921|tyyd.|on|E2007|4/4|kt|Lauttasaari|870000|8406|4| h, k, kph, s,...|103,50|2000
2922|hyvä|ei|E|1/3|kt|Etelä-haaga|370000|4744|4|h, k, kph, eri...|78,00|1966
2923|tyyd.|ei|E|1/2|rt|Kulosaari|449400|4539|4|h,kk,rt,kph,s|99,00|1962
2924|hyvä|ei||1/2|rt|Malminkartano|257000|2425|4|h, avok, kph/w...|106,00|1985
2925|hyvä|on|C|2/6|kt|Aurinkolahti|395000|4093|4|h, k, s, kh, 2...|96,50|2007
2926|hyvä|on||1/6|kt|Aurinkolahti|410000|3361|4|-5h, k, s, kph...|122,00|2005
2927|hyvä|ei|E|-1/2|rt|Herttoniemi|850000|5705|4|-5h, k, s|149,00|2008
2928|tyyd.|ei|E|1/2|rt|Länsi-pakila|360000|1856|6|h+k+aputilat|194,00|1971
2929|tyyd.|ei||1/1|rt|Siltamäki|238000|2429|4|h, k, s, l...|98,00|1979
2930|hyvä|on|F|2/7|kt|Eira|840000|7179|4|h+ halli + avo...|117,00|1911
2931|tyyd.|ei||1/2|rt|Tapaninvainio|360000|2293|5| h, k, takkah,...|157,00|1995
2932|tyyd.|ei|G|2/4|kt|Kulosaari|455096|4175|5|h, k, erill.wc|109,00|1960
2933|hyvä|on||3/7|kt|Kamppi|753000|7530|4| h, kt, s|100,00|2016
2934|hyvä|ei|E2007|1/3|kt|Veräjämäki|335000|3004|4|-6h, keitti...|111,50|1964
2935|tyyd.|ei||1/3|ok|Puistola|340000|2833|6|h, rh, 4 mh, k...|120,00|1954
2936|tyyd.|ei||3/6|kt|Ullanlinna|642500|6872|4|h,k,halli, kph...|93,50|1929
2937|hyvä|ei||-1/2|rt|Myllypuro|342000|3508|4|h, avokeitti...|97,50|2003
2938|hyvä|ei|C|-1/2|rt|Oulunkylä|458000|3496|5|h, k, s|131,00|1982
2939|hyvä|ei||2/2|kt|Kulosaari|635000|4669|5|h,k, parveke, ...|136,00|1997
2940|hyvä|ei||2/5|kt|Kamppi|770000|5649|4|h,k|136,30|1924
2941|hyvä|on|C|1/4|kt|Malminkartano|291000|3660|4|h, k, kph, s, ...|79,50|2015
2942|hyvä|ei||2/2|rt|Tapaninvainio|321500|3384|4|h, k, s|95,00|1989
2943|hyvä|ei||1/1|rt|Puistola|306000|3122|4|h, k, tkh, s/p...|98,00|1977
2944|tyyd.|ei||1/2|rt|Tammisalo|342500|3408|4|h+k+s+parveke|100,50|1978
2945|hyvä|on||1/8|kt|Lauttasaari|538000|5173|4|h, k, s, p|104,00|2001
2946|hyvä|ei|E|-1/4|kt|Kurkimäki|235000|2017|5|h, k, rt, kph,...|116,50|1984
2947|tyyd.|ei||1/3|rt|Munkkivuori|530000|3064|6| h, k, kph, s,...|173,00|1957
2948|huono|on|F|5/8|kt|Etu-Töölö|1101600|5271|5|h, k, halli, ph|209,00|1928
2949|hyvä|ei|F|2/2|kt|Laajasalo|250000|3472|4|h+k+p|72,00|1979
2950|hyvä|ei||1/2|kt|Itä-pakila|283000|3538|4|h, k, kph, p|80,00|1963
2951|hyvä|ei||1/1|rt|Paloheinä|425000|4645|4| h, k, kph/2wc...|91,50|2008
2952|hyvä|on|D|1/4|kt|Länsi-pasila|637000|5588|4|h, k, kh/s, wc...|114,00|2009
2953|hyvä|ei|F|1/2|kt|Lauttasaari|695000|5451|4| h, k, rt, oh,...|127,50|1967
2954|hyvä|ei|F2007|1/2|rt|Tammisalo|592000|4519|5|h, k, s, khh, ...|131,00|1998
2955|hyvä|ei|A2007|1/2|rt|Herttoniemi|675000|3947|4|h, k, khh, kph...|171,00|2014
2956|hyvä|on||2/4|kt|Kulosaari|815000|4631|4|-5h, k, kph, s...|176,00|1916
2957|hyvä|ei|D|4/5|kt|Kaartinkaupunki|1590000|8413|6|h, k, khh, spa...|189,00|1905
2958|hyvä|on|E|1/6|kt|Taka-töölö|383805|4984|3|-4 h, k, kph,wc|77,00|1938
2959|hyvä|on|D|4/7|kt|Ruskeasuo|448000|5497|4|h, k|81,50|1950
2960|hyvä|ei|F|2/3|kt|Lassila|268000|2851|4|h+k+s|94,00|1981
2961|hyvä|on|D|-1/6|kt|Rastila|329000|3089|2|-4h, k, kph/s,...|106,50|2002
2962|tyyd.|on||3/7|kt|Ullanlinna|870000|6692|5|h, k, kph, eri...|130,00|1938
2963|hyvä|on|F|5/6|kt|Lauttasaari|475000|5429|3|-4 h, k, kh, w...|87,50|1975
2964|tyyd.|on|D2007|3/5|kt|Koskela|207160|2354|4| h, k, vh, kph...|88,00|1973
2965|hyvä|ei|D|1/2|rt|Viikki|406000|3725|4|h, k, s/kph, 2...|109,00|2005
2966|hyvä|ei||1/3|rt|Malmi|362000|2351|5|h,k,kph,wc,s,k...|154,00|1993
2967|hyvä|on||1/6|kt|Munkkiniemi|499000|6085|4|h, k, kph, las...|82,00|1956
2968|tyyd.|ei|F|3/3|kt|Tapulikaupunki|153000|1759|4|h, k|87,00|1978
2969|tyyd.|ei||-1/3|ok|Konala|215000|2389|4|-5h, k, pesuhu...|90,00|1958
2970|hyvä|ei|D2007|1/2|rt|Pikku-huopalahti|400000|4211|4|h+k+s|95,00|1991
2971|tyyd.|on||3/5|kt|Vuosaari|236000|2448|5|h, k, kph + er...|96,40|1964
2972|tyyd.|on|D2007|4/4|kt|Ullanlinna|1550000|10258|4|-5 h + 2 kph +...|151,10|1951
2973|tyyd.|ei|G|2/3|kt|Kontula|112000|1493|3|-4h+k|75,00|1965
2974|tyyd.|on||4/6|kt|Kamppi|610000|6289|4|h+k+kylpyhuone|97,00|1927
2975|tyyd.|on|D2007|5/6|kt|Länsi-pasila|400000|3922|3|-4-5 h, k, rt,...|102,00|1986
2976|tyyd.|ei|E|1/1|rt|Oulunkylä|370000|3558|4|h, k, s, kph, wc|104,00|1974
2977|tyyd.|ei|E|-1/2|rt|Veräjämäki|383000|3330|6|h, k, kph, s, ...|115,00|1983
2978|hyvä|on||4/4|kt|Munkkivuori|420000|4941|4|h, avok, kph, ...|85,00|1957
2979|tyyd.|ei||1/1|rt|Itä-pakila|358000|3891|4| h, k, kh, s, ...|92,00|1985
2980|hyvä|on|E|2/4|kt|Viikki|362000|3148|5|h, k s, erill....|115,00|2007
2981|tyyd.|ei|E2007|1/2|rt|Itäkeskus|360000|2857|4| h, k, s|126,00|2000
2982|tyyd.|on|E2007|5/7|kt|Puotinharju|229000|2827|4|h,k,kph,vhx2,p|81,00|1963
2983|hyvä|on|F2007|4/6|kt|Aurinkolahti|344000|3931|4| h, k, s, p|87,50|2004
2984|hyvä|ei||3/5|kt|Lauttasaari|623000|6261|4|h+k+s|99,50|2006
2985|hyvä|ei|F2007|2/3|kt|Kannelmäki|176000|2256|4|h, k, rt, kph....|78,00|1976
2986|hyvä|ei||-1/3|ok|Tapaninkylä|417000|2673|5|-6h+k+tkh+khh+...|156,00|1962
2987|hyvä|on|E2007|5/6|kt|Katajanokka|1435000|6811|5|h, k, 2kph, wc, s|210,70|1911
2988|tyyd.|ei|F2007|-1/2|rt|Torpparinmäki|280000|3128|4|h, k, kph (2 x...|89,50|1988
2989|tyyd.|ei|E|1/2|rt|Laajasalo|447158|4140|4|-5h+k+s+p|108,00|1985
2990|huono|ei||1/1|ok|Vuosaari|273000|2184|5| h, k, takkahu...|125,00|1978
2991|hyvä|on|F|4/7|kt|Etu-Töölö|705000|4796|5|h, k, kph, p|147,00|1928
2992|hyvä|ei|G|2/2|rt|Konala|450000|2394|4|-5h, k, khh, t...|188,00|1974
2993|tyyd.|on|E|3/8|kt|Kallio|330000|4748|4|h,k,kh,erill.w...|69,50|1984
2994|tyyd.|on|F2007|3/5|kt|Pitäjänmäki|210000|2308|4|h, k, kph, s, ...|91,00|1974
2995|hyvä|on|D|7/8|kt|Puotinharju|165000|1755|4|h, k, 2 wc, la...|94,00|1965
2996|hyvä|ei||1/2|rt|Tammisalo|420000|3429|4|-5 h+k+s+pesuh...|122,50|1974
2997|hyvä|ei|E2007|2/3|kt|Munkkiniemi|1050000|7394|5|h, k, 2*kph, e...|142,00|1946
2998|tyyd.|on|D2007|2/6|kt|Rastila|280000|3146|4|h, k, s, teras...|89,00|2002
2999|hyvä|ei||1/3|rt|Vesala|288000|2526|5|h, takkah., k,...|114,00|1991
3000|hyvä|ei|A|1/2|ok|Tapaninvainio|466500|4300||k; avok, oh/rt...|108,50|2015
3001|hyvä|on|A| |kt|Lauttasaari|840000|6829|4|h, avokeitti...|123,00|2014
3002|hyvä|on|F2007|5/6|kt|Etu-Töölö|1070000|6203|4|h, avokeitti...|172,50|1920
3003|hyvä|ei||1/2|rt|Vesala|205000|2181|4|h+avok.+sauna+...|94,00|1977
3004|tyyd.|ei||1/2|rt|Tammisalo|350000|3608|4|-5 h+k+kh+wc+k...|97,00|1960
3005|hyvä|ei|F2007|2/2|rt|Myllypuro|309000|3287|4|-5h, avok,eril...|94,00|2000
3006|tyyd.|ei||1/1|rt|Länsi-pakila|260000|2680|4|h, k, kph, wc, vh|97,00|1965
3007|tyyd.|ei||-1/1|ok|Länsi-pakila|290000|2544|4|h,k,tkh,kph,s,...|114,00|1983
3008|hyvä|on||4/4|kt|Katajanokka|1699467|8171|6|h, k, kph, eri...|208,00|1904
3009|hyvä|on|D|6/6|kt|Aurinkolahti|410000|4686|4|h, k, s|87,50|2007
3010|hyvä|on|D|4/4|kt|Munkkivuori|497000|4176|5|h+ruokailutila...|119,00|1962
3011|tyyd.|ei||1/2|kt|Lauttasaari|510000|4857|4|h+k+patio|105,00|1972
3012|tyyd.|ei|E|1/2|rt|Laajasalo|272500|3062|4| h,k,s|89,00|1978
3013|hyvä|ei|F2007|-1/3|rt|Tapanila|360000|3273|4|h+k+sauna|110,00|2008
3014|hyvä|ei|E|2/3|rt|Kannelmäki|310000|3100|4|h,k,khh,s|100,00|2008
3015|hyvä|on||2/5|kt|Oulunkylä|505000|4316|3|-4h, k, s, 2xk...|117,00|2014
3016|hyvä|on|C2007|8/8|kt|Punavuori|1080000|8780|4| huonetta, kei...|123,00|2002
3017|hyvä|on|C|6/7|kt|Mellunmäki|315000|3795|4|h+k+s|83,00|2006
3018|hyvä|ei|F|1/1|rt|Itä-pakila|360000|3600|4|h, k, s, ph, wc|100,00|2001
